content,tag,content_original
final['Ticket_length'].value_counts(),0,"[""final['Ticket_length'].value_counts()""]"
data2.head(),0,['data2.head()']
"SETUP warnings.filterwarnings(""ignore"")",0,"['import pandas as pd\n', 'import numpy as np\n', 'import matplotlib.pyplot as plt\n', '%matplotlib inline\n', 'import warnings\n', 'import seaborn as sns\n', 'warnings.filterwarnings(""ignore"")']"
"plotCorrelationMatrix(df1, 8)",1,"['plotCorrelationMatrix(df1, 8)']"
"ASSIGN = get_data_loaders(TRAIN_DATA_PATH, VAL_DATA_PATH)",0,"['train_loader, val_loader, train_class_names, val_class_names = get_data_loaders(TRAIN_DATA_PATH, VAL_DATA_PATH)']"
ASSIGN = pd.read_csv('..path') ASSIGN = pd.read_csv('..path') ASSIGN.head(5),0,"[""train = pd.read_csv('../input/train.csv')\n"", ""test = pd.read_csv('../input/test.csv')\n"", 'train.head(5)']"
"DD=data_2019[data_2019.Variable=='Driving Distance - (TOTAL DISTANCE)'].iloc[:,[0,4,6]] DD['Value_new']=DD['Value'].apply(lambda x:''.join(x.split(','))) DD.Value_new=DD.Value_new.astype(int) DD=DD.drop(columns='Value') plt.figure(figsize=(22,22)) for i in range(len(DD.month.unique())): ASSIGN=DD[DD.month==DD.month.unique()[i]] plt.subplot(4,2,i+1) ASSIGN.groupby('Player Name')['Value_new'].max().sort_values(ascending=False)[:10].sort_values().plot(kind='barh') plt.title(""Top 10 player by Total Driving Distance in month""+DD.month.unique()[i],size=20) plt.xlabel('meters') plt.ylabel('')",1,"[""DD=data_2019[data_2019.Variable=='Driving Distance - (TOTAL DISTANCE)'].iloc[:,[0,4,6]]\n"", ""DD['Value_new']=DD['Value'].apply(lambda x:''.join(x.split(',')))\n"", 'DD.Value_new=DD.Value_new.astype(int)\n', ""DD=DD.drop(columns='Value')\n"", 'plt.figure(figsize=(22,22))\n', 'for i in range(len(DD.month.unique())):\n', '    DD_month=DD[DD.month==DD.month.unique()[i]]\n', '    plt.subplot(4,2,i+1)\n', ""    DD_month.groupby('Player Name')['Value_new'].max().sort_values(ascending=False)[:10].sort_values().plot(kind='barh')\n"", '    plt.title(""Top 10 player by Total Driving Distance in month""+DD.month.unique()[i],size=20)\n', ""    plt.xlabel('meters')\n"", ""    plt.ylabel('')""]"
"CHECKPOINT ASSIGN = rdf.score(train_x, train_y) print('training accuracy: %.5f' % ASSIGN) ASSIGN =rdf.predict(test_x) X=accuracy_score(test_y, ASSIGN) print('test accuracy: %.5f' % X) ASSIGN = metrics.roc_curve(test_y, predict_y, pos_label=1) print('auc: %.5f' % metrics.auc(fpr, tpr)) '''scores = cross_val_score(rdf,train_x,train_y,cv=5,scoring='accuracy') print(scores) print('Cross validation: %.5f'%scores.mean())'''",0,"['acc_log = rdf.score(train_x, train_y)\n', ""print('training accuracy: %.5f' % acc_log)\n"", '\n', 'predict_y =rdf.predict(test_x)\n', 'X=accuracy_score(test_y, predict_y)\n', ""print('test accuracy: %.5f' % X)\n"", '#auc\n', 'fpr, tpr, thresholds = metrics.roc_curve(test_y, predict_y, pos_label=1)\n', ""print('auc: %.5f' % metrics.auc(fpr, tpr))\n"", '\n', '#Cross validation\n', '#運算時間太長\n', ""'''scores = cross_val_score(rdf,train_x,train_y,cv=5,scoring='accuracy')\n"", 'print(scores)\n', ""print('Cross validation: %.5f'%scores.mean())'''""]"
"def feature_importance(learner): ASSIGN = learner.ASSIGN.train_ds.x ASSIGN = data.ASSIGN ASSIGN = data.ASSIGN ASSIGN=np.array([learner.loss_func(learner.pred_batch(batch=(x,y.to(""cpu""))), y.to(""cpu"")) for x,y in iter(learner.data.valid_dl)]).mean() ASSIGN=dict() ASSIGN=[cat_names, cont_names] for j, t in enumerate(ASSIGN): for i, c in enumerate(t): ASSIGN=[] for x,y in iter(learner.ASSIGN.valid_dl): ASSIGN=x[j][:,i] ASSIGN = torch.randperm(col.nelement()) x[j][:,i] = ASSIGN.view(-1)[ASSIGN].view(ASSIGN.size()) ASSIGN=ASSIGN.to('cpu') ASSIGN.append(learner.loss_func(learner.pred_batch(batch=(x,ASSIGN)), ASSIGN)) SLICE=np.array(ASSIGN).mean()-ASSIGN ASSIGN = sorted(fi.items(), key=lambda kv: kv[1], reverse=True) return pd.DataFrame({'cols': [l for l, v in ASSIGN], 'imp': np.log1p([v for l, v in ASSIGN])})",0,"['# Feture importance extraction from NN weights\n', 'def feature_importance(learner): \n', '  # based on: https://medium.com/@mp.music93/neural-networks-feature-importance-with-fastai-5c393cf65815\n', '    data = learner.data.train_ds.x\n', '    cat_names = data.cat_names\n', '    cont_names = data.cont_names\n', '    loss0=np.array([learner.loss_func(learner.pred_batch(batch=(x,y.to(""cpu""))), y.to(""cpu"")) for x,y in iter(learner.data.valid_dl)]).mean()\n', '    fi=dict()\n', '    types=[cat_names, cont_names]\n', '    for j, t in enumerate(types):\n', '      for i, c in enumerate(t):\n', '        loss=[]\n', '        for x,y in iter(learner.data.valid_dl):\n', '          col=x[j][:,i] \n', '          idx = torch.randperm(col.nelement())\n', '          x[j][:,i] = col.view(-1)[idx].view(col.size())\n', ""          y=y.to('cpu')\n"", '          loss.append(learner.loss_func(learner.pred_batch(batch=(x,y)), y))\n', '        fi[c]=np.array(loss).mean()-loss0\n', '    d = sorted(fi.items(), key=lambda kv: kv[1], reverse=True)\n', ""    return pd.DataFrame({'cols': [l for l, v in d], 'imp': np.log1p([v for l, v in d])})""]"
"ASSIGN == ""__main__"": ASSIGN = 100 ASSIGN = np.linspace(0, 6*np.pi, N) ASSIGN = np.sin(X) plt.plot(ASSIGN, ASSIGN) plt.show() for deg in (5, 6, 7, 8, 9): fit_and_display(ASSIGN, ASSIGN, 10, deg) plot_train_vs_test_curves(ASSIGN, ASSIGN)",1,"['if __name__ == ""__main__"":\n', '    # make up some data and plot it\n', '    N = 100\n', '    X = np.linspace(0, 6*np.pi, N)\n', '    Y = np.sin(X)\n', '\n', '    plt.plot(X, Y)\n', '    plt.show()\n', '\n', '    for deg in (5, 6, 7, 8, 9):\n', '        fit_and_display(X, Y, 10, deg)\n', '    plot_train_vs_test_curves(X, Y)']"
"SETUP def EfficientUNet(input_shape): ASSIGN = efn.EfficientNetB4( ASSIGN=None, ASSIGN=False, ASSIGN=ASSIGN ) ASSIGN = backbone.ASSIGN ASSIGN = backbone.input ASSIGN = backbone.get_layer('stem_activation').output ASSIGN = backbone.get_layer('block2d_add').output ASSIGN = backbone.get_layer('block3d_add').output ASSIGN = backbone.get_layer('block5f_add').output ASSIGN = backbone.get_layer('block7b_add').output ASSIGN = H([x00, U(x10)], 'X01') ASSIGN = H([x10, U(x20)], 'X11') ASSIGN = H([x20, U(x30)], 'X21') ASSIGN = H([x30, U(x40)], 'X31') ASSIGN = H([x40, U(x50)], 'X41') ASSIGN = H([x00, x01, U(x11)], 'X02') ASSIGN = H([x11, U(x21)], 'X12') ASSIGN = H([x21, U(x31)], 'X22') ASSIGN = H([x31, U(x41)], 'X32') ASSIGN = H([x00, x01, x02, U(x12)], 'X03') ASSIGN = H([x12, U(x22)], 'X13') ASSIGN = H([x22, U(x32)], 'X23') ASSIGN = H([x00, x01, x02, x03, U(x13)], 'X04') ASSIGN = H([x13, U(x23)], 'X14') ASSIGN = H([x00, x01, x02, x03, x04, U(x14)], 'X05') ASSIGN = Concatenate(name='bridge')([x01, x02, x03, x04, x05]) ASSIGN = Conv2D(4, (3,3), padding=""same"", name='final_output', activation=""sigmoid"")(ASSIGN) return Model(inputs=ASSIGN, outputs=ASSIGN) ASSIGN = EfficientUNet((320, 480 ,3)) ASSIGN.summary()",0,"['import efficientnet.keras as efn \n', 'def EfficientUNet(input_shape):\n', '    backbone = efn.EfficientNetB4(\n', '        weights=None,\n', '        include_top=False,\n', '        input_shape=input_shape\n', '    )\n', '    \n', '    input = backbone.input\n', '    x00 = backbone.input  # (256, 512, 3)\n', ""    x10 = backbone.get_layer('stem_activation').output  # (128, 256, 4)\n"", ""    x20 = backbone.get_layer('block2d_add').output  # (64, 128, 32)\n"", ""    x30 = backbone.get_layer('block3d_add').output  # (32, 64, 56)\n"", ""    x40 = backbone.get_layer('block5f_add').output  # (16, 32, 160)\n"", ""    x50 = backbone.get_layer('block7b_add').output  # (8, 16, 448)\n"", '    \n', ""    x01 = H([x00, U(x10)], 'X01')\n"", ""    x11 = H([x10, U(x20)], 'X11')\n"", ""    x21 = H([x20, U(x30)], 'X21')\n"", ""    x31 = H([x30, U(x40)], 'X31')\n"", ""    x41 = H([x40, U(x50)], 'X41')\n"", '    \n', ""    x02 = H([x00, x01, U(x11)], 'X02')\n"", ""    x12 = H([x11, U(x21)], 'X12')\n"", ""    x22 = H([x21, U(x31)], 'X22')\n"", ""    x32 = H([x31, U(x41)], 'X32')\n"", '    \n', ""    x03 = H([x00, x01, x02, U(x12)], 'X03')\n"", ""    x13 = H([x12, U(x22)], 'X13')\n"", ""    x23 = H([x22, U(x32)], 'X23')\n"", '    \n', ""    x04 = H([x00, x01, x02, x03, U(x13)], 'X04')\n"", ""    x14 = H([x13, U(x23)], 'X14')\n"", '    \n', ""    x05 = H([x00, x01, x02, x03, x04, U(x14)], 'X05')\n"", '    \n', ""    x_out = Concatenate(name='bridge')([x01, x02, x03, x04, x05])\n"", '    x_out = Conv2D(4, (3,3), padding=""same"", name=\'final_output\', activation=""sigmoid"")(x_out)\n', '    \n', '    return Model(inputs=input, outputs=x_out)\n', '\n', 'model = EfficientUNet((320, 480 ,3))\n', '\n', 'model.summary()']"
"gs.fit(X_train, y_train)",0,"['#fit gs\n', 'gs.fit(X_train, y_train)']"
"CHECKPOINT ASSIGN = model4.predict(X_test) ASSIGN= mean_squared_error(y_test, y_pred4, squared=False) ASSIGN = str(round(val, 4)) print('Root Mean Squared Error:', np.sqrt(metrics.mean_squared_error(y_test, ASSIGN)))",0,"['y_pred4 = model4.predict(X_test)\n', '\n', 'val= mean_squared_error(y_test, y_pred4, squared=False)\n', 'val4 = str(round(val, 4))\n', '\n', '\n', ""print('Root Mean Squared Error:', np.sqrt(metrics.mean_squared_error(y_test, y_pred4)))\n""]"
"sns.catplot(x = 'Sex',y='Survived',hue = 'Pclass', kind = 'bar', data = df1, col = 'Pclass', color = 'purple')",1,"[""sns.catplot(x = 'Sex',y='Survived',hue = 'Pclass', kind = 'bar', data = df1, col = 'Pclass', color = 'purple')""]"
"SETUP ASSIGN = {'num_leaves': 256, 'min_child_samples': 79, 'objective': 'binary', 'max_depth': 13, 'learning_rate': 0.03, ""boosting_type"": ""gbdt"", ""subsample_freq"": 3, ""subsample"": 0.9, ""bagging_seed"": 11, ""metric"": 'auc', ""verbosity"": -1, 'reg_alpha': 0.3, 'reg_lambda': 0.3, 'colsample_bytree': 0.9, 'tree_method':'gpu_hist' } ASSIGN = train_model_classification(X=train, X_test=X_test, y=y_train, params=params, folds=folds, model_type='lgb', eval_metric='auc', plot_feature_importance=True, ASSIGN=500, early_stopping_rounds=200, n_estimators=5000, averaging='usual', n_jobs=-1)",0,"['import time\n', ""params = {'num_leaves': 256,\n"", ""          'min_child_samples': 79,\n"", ""          'objective': 'binary',\n"", ""          'max_depth': 13,\n"", ""          'learning_rate': 0.03,\n"", '          ""boosting_type"": ""gbdt"",\n', '          ""subsample_freq"": 3,\n', '          ""subsample"": 0.9,\n', '          ""bagging_seed"": 11,\n', '          ""metric"": \'auc\',\n', '          ""verbosity"": -1,\n', ""          'reg_alpha': 0.3,\n"", ""          'reg_lambda': 0.3,\n"", ""          'colsample_bytree': 0.9,\n"", ""          # 'categorical_feature': cat_cols\n"", ""          'tree_method':'gpu_hist'\n"", '          }\n', ""result_dict_lgb = train_model_classification(X=train, X_test=X_test, y=y_train, params=params, folds=folds, model_type='lgb', eval_metric='auc', plot_feature_importance=True,\n"", ""                                             verbose=500, early_stopping_rounds=200, n_estimators=5000, averaging='usual', n_jobs=-1)""]"
"ASSIGN=train_datagen.flow_from_dataframe(val,directory='path', ASSIGN=(384,384), ASSIGN=""image_id"", ASSIGN=['healthy','multiple_diseases','rust','scab'], ASSIGN='raw', ASSIGN=False, ASSIGN=32, )",0,"[""val_generator=train_datagen.flow_from_dataframe(val,directory='/kaggle/input/plant-pathology-2020-fgvc7/images/',\n"", '                                                      target_size=(384,384),\n', '                                                      x_col=""image_id"",\n', ""                                                      y_col=['healthy','multiple_diseases','rust','scab'],\n"", ""                                                      class_mode='raw',\n"", '                                                      shuffle=False,\n', '                                                      batch_size=32,\n', '                                                  )']"
"SETUP CHECKPOINT estimator.append(('GNB',GaussianNB())) ASSIGN = cross_val_score(GNB,x_train,x_test,ASSIGN=10) ASSIGN = cv.mean() accuracy.append(ASSIGN) print(ASSIGN) print(ASSIGN.mean())",0,"['GNB = GaussianNB()\n', ""estimator.append(('GNB',GaussianNB()))\n"", 'cv = cross_val_score(GNB,x_train,x_test,cv=10)\n', 'accuracy5 = cv.mean()\n', 'accuracy.append(accuracy5)\n', 'print(cv)\n', 'print(cv.mean())']"
"CHECKPOINT ASSIGN = pd.read_csv('..path') ASSIGN = pd.read_csv('..path') ASSIGN = train.drop([""label""], axis=1) ASSIGN = ASSIGN.values.astype('int32') print()",0,"[""train = pd.read_csv('../input/train.csv')\n"", ""test = pd.read_csv('../input/test.csv')\n"", '\n', 'X = train.drop([""label""], axis=1)\n', ""X = X.values.astype('int32')\n"", 'print(""loaded"")']"
"CHECKPOINT def train(epochs): ASSIGN = [] ASSIGN = [] for epoch in range(epochs): ASSIGN = 0 ASSIGN = 0 ASSIGN = 0 model.train() ASSIGN = 0 for inputs, labels in train_loader: ASSIGN = inputs.to(device), labels.to(device) optimizer.zero_grad() ASSIGN = model.forward(inputs) ASSIGN = criterion(output, labels) ASSIGN.backward() optimizer.step() ASSIGN += ASSIGN.item() ASSIGN += 1 model.eval() ASSIGN = 0 with torch.no_grad(): for ASSIGN in val_loader: ASSIGN = inputs.to(device), labels.to(device) ASSIGN = model.forward(inputs) ASSIGN = criterion(output, labels) ASSIGN += ASSIGN.item() ASSIGN = torch.exp(ASSIGN) ASSIGN = output.topk(1, dim=1) ASSIGN = top_class == labels.view(*top_class.shape) ASSIGN += torch.mean(ASSIGN.type(torch.FloatTensor)).item() ASSIGN += 1 ASSIGN = train_losspath(train_loader) ASSIGN = val_losspath(val_loader) ASSIGN.append(ASSIGN) ASSIGN.append(ASSIGN) print('Accuracy: ', accuracypath(val_loader)) print('Epoch: {} \tTraining Loss: {:.6f} \tValidation Loss: {:.6f}'.format(epoch, ASSIGN, ASSIGN)) return train_losses, valid_losses",0,"['def train(epochs):\n', '    train_losses = []\n', '    valid_losses = []\n', '    \n', '    for epoch in range(epochs):\n', '        train_loss = 0\n', '        val_loss = 0\n', '        accuracy = 0\n', '\n', '        # Training the model\n', '        model.train()\n', '        counter = 0\n', '        for inputs, labels in train_loader:\n', '            # Move to device\n', '            inputs, labels = inputs.to(device), labels.to(device)\n', '            # Clear optimizers\n', '            optimizer.zero_grad()\n', '            # Forward pass\n', '            output = model.forward(inputs)\n', '            # Loss\n', '            loss = criterion(output, labels)\n', '            # Calculate gradients (backpropogation)\n', '            loss.backward()\n', '            # Adjust parameters based on gradients\n', '            optimizer.step()\n', ""            # Add the loss to the training set's rnning loss\n"", '            train_loss += loss.item()\n', '\n', '            # Print the progress of our training\n', '            counter += 1\n', '            #print(counter, ""/"", len(train_loader))\n', '\n', '            # Evaluating the model\n', '        model.eval()\n', '        counter = 0\n', '        # Tell torch not to calculate gradients\n', '        with torch.no_grad():\n', '            for inputs, labels in val_loader:\n', '                # Move to device\n', '                inputs, labels = inputs.to(device), labels.to(device)\n', '                # Forward pass\n', '                output = model.forward(inputs)\n', '                # Calculate Loss\n', '                valloss = criterion(output, labels)\n', ""                # Add loss to the validation set's running loss\n"", '                val_loss += valloss.item()\n', '\n', '                # Since our model outputs a LogSoftmax, find the real \n', '                # percentages by reversing the log function\n', '                output = torch.exp(output)\n', '                # Get the top class of the output\n', '                top_p, top_class = output.topk(1, dim=1)\n', '                # See how many of the classes were correct?\n', '                equals = top_class == labels.view(*top_class.shape)\n', '                # Calculate the mean (get the accuracy for this batch)\n', '                # and add it to the running accuracy for this epoch\n', '                accuracy += torch.mean(equals.type(torch.FloatTensor)).item()\n', '\n', '                # Print the progress of our evaluation\n', '                counter += 1\n', '                #print(counter, ""/"", len(val_loader))\n', '\n', '        # Get the average loss for the entire epoch\n', '        train_loss = train_loss/len(train_loader)\n', '        valid_loss = val_loss/len(val_loader)\n', '\n', '        train_losses.append(train_loss)\n', '        valid_losses.append(valid_loss)\n', '        # Print out the information\n', ""        print('Accuracy: ', accuracy/len(val_loader))\n"", ""        print('Epoch: {} \\tTraining Loss: {:.6f} \\tValidation Loss: {:.6f}'.format(epoch, train_loss, valid_loss))\n"", '\n', '    return train_losses, valid_losses\n']"
"ASSIGN = list(pd.DataFrame(X_train).columns) ASSIGN = pd.DataFrame({'PC1':pca_last.components_[0],'PC2':pca_last.components_[1], 'Feature':colnames}) ASSIGN.head()",0,"['colnames = list(pd.DataFrame(X_train).columns)\n', ""pcs_df = pd.DataFrame({'PC1':pca_last.components_[0],'PC2':pca_last.components_[1], 'Feature':colnames})\n"", 'pcs_df.head()']"
CHECKPOINT ASSIGN = svc_model.predict(X_test) Y_predicted,0,"['Y_predicted = svc_model.predict(X_test)\n', 'Y_predicted']"
SETUP,0,"['import pandas as pd\n', 'import numpy as np\n', 'import matplotlib.pyplot as plt']"
"def CalculateSSE(original_Y, predicted_Y): ASSIGN=0.0 for i in range(0, original_Y.size): ASSIGN += (original_Y[i]-predicted_Y[i])**2 ASSIGN = theSSEpath return theSSE",0,"['def CalculateSSE(original_Y, predicted_Y):\n', '    theSSE=0.0\n', '    \n', '    for i in range(0, original_Y.size):\n', '        theSSE += (original_Y[i]-predicted_Y[i])**2\n', '        \n', '    theSSE = theSSE/2\n', '    \n', '    return theSSE']"
"sns.catplot(x='Year', y='Prevention of atrocities (POA) Act', data=cbdr,height = 5, aspect = 4)",1,"[""sns.catplot(x='Year', y='Prevention of atrocities (POA) Act', data=cbdr,height = 5, aspect = 4)""]"
"sns.catplot(x='Year', y='Other Crimes Against SCs', data=cbdr,height = 5, aspect = 4)",1,"[""sns.catplot(x='Year', y='Other Crimes Against SCs', data=cbdr,height = 5, aspect = 4)""]"
SETUP,0,['import pandas as pd']
ASSIGN = pd.read_csv('..path') ASSIGN = pd.read_csv('..path'),0,"[""train = pd.read_csv('../input/hack-ml/Dataset/Train.csv')\n"", ""test = pd.read_csv('../input/hack-ml/Dataset/Test.csv')""]"
"sns.jointplot(x=df1['Age'], y=df1['SibSp'], kind = 'kde')",1,"[""sns.jointplot(x=df1['Age'], y=df1['SibSp'], kind = 'kde')""]"
"SETUP CHECKPOINT ASSIGN = cross_val_score(SVC,x_train,x_test,ASSIGN=10) ASSIGN = cv.mean() accuracy.append(ASSIGN) print(ASSIGN) print(ASSIGN.mean())",0,"['SVC = LinearSVC()\n', ""#estimator.append(('LSVC',LinearSVC()))\n"", 'cv = cross_val_score(SVC,x_train,x_test,cv=10)\n', 'accuracy2 = cv.mean()\n', 'accuracy.append(accuracy2)\n', 'print(cv)\n', 'print(cv.mean())\n']"
ASSIGN = pd.read_csv('..path').fillna(0) ASSIGN.head(),0,"[""train = pd.read_csv('../input/web-traffic-time-series-forecasting/train_1.csv').fillna(0)\n"", 'train.head()']"
"ASSIGN = SVM_all.predict(y_train) ASSIGN = pd.DataFrame(columns = ['PassengerId','Survived']) ASSIGN['PassengerId'] = result['PassengerId'] ASSIGN['Survived'] = ASSIGN ASSIGN.to_csv('DecisionTrees(HT).csv',index = False)",0,"['model14pred = SVM_all.predict(y_train)\n', ""submission14 = pd.DataFrame(columns = ['PassengerId','Survived'])\n"", ""submission14['PassengerId'] = result['PassengerId']\n"", ""submission14['Survived'] = model14pred\n"", ""submission14.to_csv('DecisionTrees(HT).csv',index = False)""]"
"ASSIGN='isFraud' ASSIGN = [FillMissing, Categorify, Normalize] ASSIGN = TabularList.from_df(test_df, cat_names=categorical,cont_names=numerical,procs=procs) ASSIGN = (TabularList.from_df(train_df, cat_names=categorical, cont_names=numerical,procs=procs) .split_subsets(train_size=0.85, valid_size=0.15, seed=34) .label_from_df(cols=ASSIGN) .add_test(ASSIGN) .databunch())",0,"[""dep_var='isFraud' \n"", 'procs = [FillMissing, Categorify, Normalize]\n', 'test_all = TabularList.from_df(test_df, cat_names=categorical,cont_names=numerical,procs=procs)\n', 'data = (TabularList.from_df(train_df, cat_names=categorical, cont_names=numerical,procs=procs)\n', '                           .split_subsets(train_size=0.85, valid_size=0.15, seed=34)\n', '                           .label_from_df(cols=dep_var)\n', '                           .add_test(test_all)\n', '                           .databunch())       ']"
"SETUP CHECKPOINT ASSIGN = ['AR(1)','AR(2)','AR(11)'] ASSIGN = [predictions1, predictions2, predictions11] for i in range(3): ASSIGN = mean_squared_error(test['Total'], preds[i]) print(f'{ASSIGN[i]} Error: {ASSIGN:11.10}')",0,"['from sklearn.metrics import mean_squared_error\n', '\n', ""labels = ['AR(1)','AR(2)','AR(11)']\n"", 'preds = [predictions1, predictions2, predictions11]  # these are variables, not strings!\n', '\n', 'for i in range(3):\n', ""    error = mean_squared_error(test['Total'], preds[i])\n"", ""    print(f'{labels[i]} Error: {error:11.10}')""]"
"ASSIGN = VotingClassifier(estimators = estimator, voting ='soft') ASSIGN.fit(x_train, x_test) ASSIGN = vot_soft.predict(y_train) ASSIGN.score(y_train,y_test)",0,"[""vot_soft = VotingClassifier(estimators = estimator, voting ='soft') \n"", 'vot_soft.fit(x_train, x_test) \n', 'y_pred = vot_soft.predict(y_train)\n', 'vot_soft.score(y_train,y_test)']"
"CHECKPOINT ASSIGN=np.min(X) ASSIGN=np.max(X) ASSIGN=np.min(Y) ASSIGN=np.max(Y) print(, ASSIGN, ASSIGN) print(, ASSIGN, ASSIGN) plt.xlim(0,ASSIGN+1) plt.ylim(0,ASSIGN+1) plt.scatter(X,Y, 10, color = 'blue') plt.show()",1,"['# Setting up some global values and also plotting the data to get a feel for it.\n', '\n', 'Xmin=np.min(X)\n', 'Xmax=np.max(X)\n', 'Ymin=np.min(Y)\n', 'Ymax=np.max(Y)\n', 'print(""X min & max:"", Xmin, Xmax)\n', 'print(""Y min & max:"", Ymin, Ymax)\n', '\n', '\n', '# plt.xlim(Xmin-1,Xmax+1)\n', 'plt.xlim(0,Xmax+1)\n', 'plt.ylim(0,Ymax+1)\n', '\n', ""plt.scatter(X,Y, 10, color = 'blue')\n"", 'plt.show()']"
"submission.to_csv('..path', index=False)",0,"[""submission.to_csv('../working/submission.csv', index=False)""]"
CHECKPOINT ASSIGN = suicide_attacks['Province'].unique() ASSIGN.sort() provinces,0,"['# Your turn! Take a look at all the unique values in the ""Province"" column. \n', '# Then convert the column to lowercase and remove any trailing white spaces\n', '\n', ""# get all the unique values in the 'City' column\n"", ""provinces = suicide_attacks['Province'].unique()\n"", '\n', '# sort them alphabetically and then take a closer look\n', 'provinces.sort()\n', 'provinces']"
"def ResUNet(img_h,img_w): ASSIGN=[16,32,64,128,256] ASSIGN=Input((img_h,img_w,1)) ASSIGN=inputs ASSIGN=stem(e0,f[0]) ASSIGN=residual_block(e1,f[1],strides=2) ASSIGN=residual_block(e2,f[2],strides=2) ASSIGN=residual_block(e3,f[3],strides=2) ASSIGN=residual_block(e4,f[4],strides=2) ASSIGN=conv_block(e5,f[4],strides=1) ASSIGN=conv_block(b0,f[4],strides=1) ASSIGN=upsample_concat_block(b1,e4) ASSIGN=residual_block(u1,f[4]) ASSIGN=upsample_concat_block(d1,e3) ASSIGN=residual_block(u2,f[3]) ASSIGN=upsample_concat_block(d2,e2) ASSIGN=residual_block(u3,f[2]) ASSIGN=upsample_concat_block(d3,e1) ASSIGN=residual_block(u4,f[1]) ASSIGN=tf.keras.layers.Conv2D(4,(1,1),padding='same',activation='sigmoid')(d4) ASSIGN=tf.keras.models.Model(inputs,outputs) return model",0,"['def ResUNet(img_h,img_w):\n', '\tf=[16,32,64,128,256]\n', '\tinputs=Input((img_h,img_w,1))\n', '\n', '\te0=inputs\n', '\te1=stem(e0,f[0])\n', '\te2=residual_block(e1,f[1],strides=2)\n', '\te3=residual_block(e2,f[2],strides=2)\n', '\te4=residual_block(e3,f[3],strides=2)\n', '\te5=residual_block(e4,f[4],strides=2)\n', '\n', '\tb0=conv_block(e5,f[4],strides=1)\n', '\tb1=conv_block(b0,f[4],strides=1)\n', '\n', '\tu1=upsample_concat_block(b1,e4)\n', '\td1=residual_block(u1,f[4])\n', '\n', '\tu2=upsample_concat_block(d1,e3)\n', '\td2=residual_block(u2,f[3])\n', '\n', '\tu3=upsample_concat_block(d2,e2)\n', '\td3=residual_block(u3,f[2])\n', '\n', '\tu4=upsample_concat_block(d3,e1)\n', '\td4=residual_block(u4,f[1])\n', '\n', ""\toutputs=tf.keras.layers.Conv2D(4,(1,1),padding='same',activation='sigmoid')(d4)\n"", '\tmodel=tf.keras.models.Model(inputs,outputs)\n', '\treturn model\n']"
"data_features[(data_features['BsmtFinType1'].notnull() & data_features['BsmtQual'].isnull())][ ['BsmtCond','BsmtExposure','BsmtQual','BsmtFinType1','BsmtFinType2']]",0,"[""data_features[(data_features['BsmtFinType1'].notnull() & data_features['BsmtQual'].isnull())][\n"", ""    ['BsmtCond','BsmtExposure','BsmtQual','BsmtFinType1','BsmtFinType2']]""]"
"plt.figure(figsize=(14,9)) sns.heatmap(relevant.isnull(), cbar=False, yticklabels=False)",1,"['plt.figure(figsize=(14,9))\n', 'sns.heatmap(relevant.isnull(), cbar=False, yticklabels=False)']"
"ASSIGN = rf.predict(y_train) ASSIGN = pd.DataFrame(columns = ['PassengerId','Survived']) ASSIGN['PassengerId'] = result['PassengerId'] ASSIGN['Survived'] = ASSIGN ASSIGN.to_csv('RandomForest(HT).csv',index = False)",0,"['model16pred = rf.predict(y_train)\n', ""submission16 = pd.DataFrame(columns = ['PassengerId','Survived'])\n"", ""submission16['PassengerId'] = result['PassengerId']\n"", ""submission16['Survived'] = model16pred\n"", ""submission16.to_csv('RandomForest(HT).csv',index = False)""]"
ASSIGN = data.nunique()[data.nunique()<5].keys().tolist() ASSIGN = all_cat_var[:-1],0,"['# Getting the categorical variables \n', 'all_cat_var = data.nunique()[data.nunique()<5].keys().tolist()\n', '\n', '# Getting the categorical variables without churn\n', 'cat_var = all_cat_var[:-1]']"
ASSIGN=data[data.total_cars==1].drop_duplicates(subset=['latitude'])[:2000] ASSIGN.head(),0,"[""data_total_cars_1=data[data.total_cars==1].drop_duplicates(subset=['latitude'])[:2000]\n"", 'data_total_cars_1.head()']"
